edge_id,a,b,delta_h1,delta_h2,delta_h5,delta_h10,necessary
0,0,2,-2.63318736415e-06,-5.53466594511e-06,-3.40162949897e-06,-9.45641559724e-06,False
1,0,4,-0.254786218997,-0.475868645996,2.80704321957,1.55410127415,False
2,0,5,-0.000121646066042,-0.000245258537049,-9.89347448126e-05,-0.000367855953726,False
3,0,6,-0.000103984385987,-0.000214652014662,-9.92698615931e-05,-0.000330847413153,False
4,0,8,-2.7878263964e-07,-6.70044052242e-07,-9.65965213595e-07,-2.04587351504e-06,False
5,0,11,-0.239398101987,-0.469783550907,0.712584735889,-0.143789767232,False
6,0,12,-1.20578649287e-06,-2.75703346375e-06,-2.52471500062e-06,-5.62327386433e-06,False
7,0,13,-9.42550236971e-07,-2.27201143588e-06,-2.71180715572e-06,-5.11675551707e-06,False
8,0,16,-2.36569490042e-06,-5.29740434985e-06,-4.39604839642e-06,-1.03685792112e-05,False
9,0,17,-1.64489394869e-05,-3.51560736931e-05,-2.75611357665e-05,-7.24377626113e-05,False
10,0,22,-6.26070316407e-05,-0.000126611899745,-5.7214745155e-05,-0.000193891678009,False
11,1,3,-3.9110952379e-06,-7.80852148097e-06,-2.98986648772e-06,-1.18084080611e-05,False
12,1,5,-0.585934652808,-1.07432433161,3.68102777622,1.59682493137,False
13,1,7,-0.00774635606014,-0.0147399100761,0.0203188652623,-0.000339891671587,False
14,1,9,-5.21543341847e-09,-1.10087086114e-08,-6.70358701882e-09,-2.36898642925e-08,False
15,1,11,-1.92337590974e-05,-3.96410593737e-05,-1.78704787714e-05,-6.22125430993e-05,False
16,1,14,-1.50563565207e-05,-3.06143291553e-05,-1.30316473417e-05,-4.64913132134e-05,False
17,1,17,-1.45131044391e-05,-2.97624286816e-05,-1.70375476642e-05,-5.19507587455e-05,False
18,1,18,-4.73651254751e-06,-1.02082544728e-05,-7.30887710176e-06,-2.16662806167e-05,False
19,2,7,-1.12016479648e-07,-2.46034936424e-07,-2.34345264971e-07,-5.33993102181e-07,False
20,2,9,-4.72488729031e-07,-1.25202186041e-06,-1.80411008444e-06,-3.68241143178e-06,False
21,2,10,-7.34475982256e-08,-1.94953116761e-07,-2.68908323164e-07,-5.48898952957e-07,False
22,2,17,-0.176426360201,-0.242413313284,3.06354628232,2.57760374212,False
23,3,4,-6.90030119799e-06,-1.43830206696e-05,-6.92521686574e-06,-2.25882945983e-05,False
24,3,11,-4.24514878361e-06,-8.85058823097e-06,-4.28364596416e-06,-1.43898557212e-05,False
25,3,13,-7.8149806626e-08,-1.67126579242e-07,-1.6196194963e-07,-3.48800938355e-07,False
26,3,16,-0.00097038325519,-0.000778484823769,0.0312532949498,0.038622899716,False
27,3,18,-0.06071854977,-0.116466373995,0.128668841794,-0.0718612856256,False
28,3,21,-0.0108443269656,-0.0220627564319,0.0089516378402,-0.0290840126223,False
29,4,5,-1.12540532789,-2.2739776594,1.38596127926,-1.89397751165,False
30,4,6,-8.35660095788e-07,-1.92323107484e-06,-1.67989890087e-06,-3.98198133666e-06,False
